customer_id,customer_age,job_type,marital,education,default,balance,housing_loan,personal_loan,communication_type,day_of_month,month,last_contact_duration,num_contacts_in_campaign,num_contacts_prev_campaign,prev_campaign_outcome,term_deposit_subscribed
id_44317,54,management,married,tertiary,no,1459,no,no,cellular,2,oct,751,2,1,success,1
id_1993,36,admin.,married,secondary,no,-327,yes,no,cellular,29,jul,816,8,0,unknown,0
id_16413,64,retired,married,primary,no,50,no,no,cellular,9,sep,774,3,1,success,1
id_14583,32,self-employed,divorced,secondary,no,96,yes,no,unknown,17,jun,858,10,0,unknown,0
id_27724,32,management,married,tertiary,no,85,no,no,unknown,14,may,892,6,0,unknown,0
id_22147,34,blue-collar,married,secondary,no,365,yes,yes,cellular,20,apr,916,2,0,unknown,0
id_42495,48,entrepreneur,married,tertiary,no,358,yes,no,unknown,27,may,879,5,0,unknown,0
id_3555,29,management,single,tertiary,no,50,no,yes,cellular,31,jul,814,17,0,unknown,0
id_13674,45,technician,married,secondary,no,1672,no,no,cellular,23,oct,730,1,0,unknown,0
id_45069,32,management,married,secondary,no,4136,yes,no,cellular,12,may,894,4,0,unknown,0
id_27615,49,blue-collar,married,secondary,no,74,yes,no,cellular,11,may,895,1,1,failure,0
id_33551,30,admin.,single,secondary,no,390,yes,no,unknown,8,may,898,1,0,unknown,0
id_37184,61,technician,divorced,secondary,no,2738,no,no,cellular,3,feb,992,2,0,unknown,0
id_43038,32,technician,divorced,secondary,no,-5,no,no,cellular,29,jan,997,2,4,other,0
id_10257,30,management,single,tertiary,no,39,yes,no,cellular,15,may,891,3,2,other,1
id_5286,27,entrepreneur,single,tertiary,no,218,yes,no,cellular,18,may,888,2,1,failure,0
id_41656,41,management,married,secondary,no,,yes,no,unknown,13,may,893,1,0,unknown,0
id_7820,28,blue-collar,married,secondary,no,1783,yes,no,unknown,5,jun,870,2,0,unknown,0
id_35295,31,management,married,tertiary,no,184,no,no,cellular,5,feb,990,1,0,unknown,0
id_7224,47,management,married,tertiary,no,4113,no,no,cellular,18,aug,796,13,0,unknown,0
id_22387,45,technician,single,tertiary,no,3428,yes,no,cellular,25,jul,820,30,0,unknown,0
id_39733,55,blue-collar,married,secondary,no,70,yes,no,unknown,5,may,901,2,0,unknown,0
id_28215,39,blue-collar,single,secondary,no,164,yes,no,cellular,20,apr,916,1,1,failure,0
id_6183,35,services,married,secondary,no,0,yes,no,cellular,12,jun,863,4,6,failure,0
id_18821,34,admin.,single,secondary,no,1069,no,no,cellular,20,nov,702,2,0,unknown,0
id_41435,31,admin.,single,tertiary,no,699,yes,no,cellular,18,may,888,2,0,unknown,0
id_19178,55,unknown,married,primary,no,10,no,no,telephone,19,oct,734,2,0,unknown,0
id_33871,58,blue-collar,single,secondary,no,1187,yes,no,cellular,5,feb,990,2,0,unknown,0
id_43113,39,management,married,tertiary,no,46,no,yes,cellular,22,aug,792,1,0,unknown,0
id_26311,40,retired,divorced,primary,no,5800,no,no,cellular,13,aug,801,5,0,unknown,0
id_28687,36,admin.,single,secondary,no,143,no,no,cellular,11,jul,834,2,0,unknown,0
id_45185,30,technician,married,unknown,no,-1,no,no,unknown,8,may,898,2,0,unknown,0
id_36265,34,technician,married,tertiary,no,198,no,no,cellular,1,oct,752,1,2,failure,0
id_11209,26,technician,single,secondary,no,249,no,no,cellular,29,jan,997,2,0,unknown,0
id_5448,56,management,divorced,tertiary,no,155,no,no,cellular,13,aug,801,2,0,unknown,0
id_27155,55,management,single,tertiary,no,1100,no,no,telephone,18,aug,796,2,0,unknown,0
id_676,29,management,single,tertiary,no,878,yes,no,cellular,16,mar,951,1,2,success,1
id_33356,38,management,married,tertiary,no,729,no,no,cellular,26,aug,788,13,0,unknown,0
id_20274,56,management,married,tertiary,no,4608,no,no,telephone,1,sep,782,2,2,failure,0
id_219,33,admin.,married,secondary,no,114,yes,no,telephone,4,feb,991,1,0,unknown,0
id_25653,42,blue-collar,married,primary,no,163,yes,no,unknown,29,may,877,6,0,unknown,0
id_35304,58,admin.,married,secondary,no,304,no,yes,cellular,8,jul,837,2,0,unknown,0
id_8754,49,services,married,secondary,no,195,yes,yes,unknown,12,may,894,6,0,unknown,0
id_30553,40,technician,divorced,secondary,no,1335,yes,yes,cellular,29,jan,997,2,1,failure,0
id_24950,38,management,divorced,tertiary,no,4569,yes,yes,cellular,16,jul,829,1,0,unknown,0
id_25416,32,services,single,secondary,no,292,yes,no,cellular,12,may,894,2,0,unknown,0
id_1385,33,management,single,tertiary,no,-2,no,no,cellular,19,aug,795,4,0,unknown,0
id_6990,45,admin.,divorced,secondary,no,1112,yes,no,unknown,15,may,891,1,0,unknown,0
id_27426,38,technician,married,secondary,no,196,yes,no,unknown,8,may,898,2,0,unknown,0
id_42873,46,blue-collar,married,unknown,no,388,no,no,unknown,6,jun,869,4,0,unknown,0
id_40926,32,management,married,tertiary,no,0,no,no,cellular,22,aug,792,4,0,unknown,0
id_15656,27,self-employed,married,tertiary,no,1934,no,no,cellular,20,nov,702,1,0,unknown,0
id_26783,29,blue-collar,married,primary,no,198,yes,no,unknown,30,may,876,2,0,unknown,0
id_1636,,blue-collar,married,primary,no,1,no,no,unknown,9,jun,866,1,0,unknown,0
id_30995,45,blue-collar,married,primary,no,681,yes,no,unknown,15,may,891,4,0,unknown,0
id_1786,48,services,single,secondary,no,518,yes,no,cellular,13,may,893,1,1,failure,0
id_18991,27,admin.,single,secondary,no,68,yes,no,cellular,14,may,892,1,3,failure,0
id_32123,53,admin.,married,unknown,no,214,no,no,telephone,17,nov,705,2,0,unknown,0
id_41390,41,services,married,secondary,no,-272,yes,no,cellular,28,jul,817,10,0,unknown,0
id_7094,36,admin.,married,secondary,no,18,yes,yes,cellular,13,oct,740,1,0,unknown,0
id_31592,47,services,divorced,secondary,no,204,yes,no,unknown,6,may,900,2,0,unknown,0
id_39684,24,admin.,married,secondary,no,969,yes,no,unknown,4,jun,871,1,0,unknown,0
id_34013,62,admin.,married,secondary,no,,no,no,cellular,22,dec,670,1,9,success,1
id_26848,35,self-employed,married,secondary,no,29122,no,no,unknown,18,jun,857,2,0,unknown,0
id_2017,31,management,married,tertiary,no,5879,no,no,cellular,23,oct,730,1,2,failure,1
id_11492,48,blue-collar,single,secondary,no,2609,yes,no,unknown,14,may,892,2,0,unknown,0
id_38687,55,entrepreneur,married,tertiary,no,1956,no,no,cellular,15,dec,677,1,0,unknown,1
id_1189,48,technician,married,secondary,no,142,no,no,cellular,22,aug,792,2,0,unknown,0
id_25904,29,technician,married,secondary,no,341,yes,yes,cellular,14,may,892,11,0,unknown,0
id_34922,36,management,married,tertiary,no,49,no,no,cellular,29,aug,785,4,0,unknown,0
id_1124,36,management,married,tertiary,no,2123,yes,no,cellular,21,jul,824,3,0,unknown,0
id_37137,44,admin.,married,secondary,no,-2,no,no,unknown,26,may,880,3,0,unknown,0
id_7180,52,technician,married,secondary,no,195,yes,no,cellular,17,dec,675,2,3,failure,0
id_18435,43,unemployed,single,primary,no,213,no,no,cellular,5,jun,870,3,0,unknown,1
id_16411,34,blue-collar,married,secondary,no,289,yes,no,unknown,6,jun,869,2,0,unknown,0
id_17235,45,services,married,secondary,no,6909,no,no,unknown,12,jun,863,,0,unknown,0
id_432,34,admin.,single,tertiary,no,1535,yes,no,cellular,15,may,891,1,5,failure,0
id_26604,31,services,single,secondary,no,1,no,no,cellular,29,jan,997,1,0,unknown,0
id_39819,29,blue-collar,married,primary,no,342,no,no,telephone,20,nov,702,1,0,unknown,0
id_44263,35,blue-collar,single,secondary,no,7124,no,no,unknown,20,jun,855,17,0,unknown,0
id_2160,44,services,married,secondary,no,6348,yes,no,cellular,11,may,895,1,0,unknown,0
id_19058,47,blue-collar,married,unknown,no,3111,no,no,cellular,6,aug,808,2,0,unknown,0
id_26195,44,entrepreneur,married,secondary,no,1,no,no,unknown,5,jun,870,1,0,unknown,1
id_31924,31,technician,single,secondary,no,141,no,no,cellular,20,nov,702,4,0,unknown,0
id_29060,35,services,single,secondary,no,774,yes,no,cellular,3,feb,992,2,1,failure,0
id_8911,33,blue-collar,married,secondary,no,1789,yes,no,cellular,16,apr,920,2,0,unknown,0
id_38363,29,blue-collar,divorced,secondary,no,247,yes,yes,unknown,7,may,899,2,0,unknown,0
id_24467,38,management,married,secondary,no,1958,no,no,cellular,4,may,902,6,11,other,0
id_29835,31,blue-collar,divorced,secondary,no,876,yes,yes,cellular,29,jan,997,3,1,failure,0
id_6586,31,blue-collar,married,secondary,no,76,yes,yes,cellular,22,jul,823,1,0,unknown,0
id_28746,49,admin.,married,secondary,no,208,no,no,unknown,17,may,889,1,0,unknown,0
id_40985,,management,divorced,tertiary,no,6568,yes,no,cellular,17,nov,705,2,0,unknown,0
id_6569,32,management,married,tertiary,no,1331,no,no,cellular,3,feb,992,2,1,success,1
id_25792,56,admin.,married,unknown,no,0,yes,no,cellular,17,nov,705,1,2,failure,0
id_37251,48,technician,married,secondary,no,1941,yes,yes,cellular,6,aug,808,2,0,unknown,0
id_8554,46,management,married,tertiary,no,509,no,no,cellular,23,apr,913,2,0,unknown,1
id_30943,45,management,divorced,tertiary,no,542,yes,no,cellular,14,may,892,1,2,other,0
id_15059,28,admin.,married,secondary,no,-362,yes,yes,unknown,3,jun,872,1,0,unknown,0
id_8277,37,technician,married,secondary,no,6387,yes,yes,cellular,18,nov,704,1,0,unknown,0
id_3477,35,blue-collar,married,primary,no,3150,yes,no,unknown,16,jun,859,3,0,unknown,0
id_20139,61,admin.,married,secondary,no,3739,no,no,cellular,22,sep,761,1,11,success,1
id_19191,57,housemaid,divorced,primary,yes,1234,no,no,unknown,5,jun,870,1,0,unknown,1
id_21254,29,technician,single,secondary,no,196,no,no,cellular,6,aug,808,2,0,unknown,0
id_17173,61,retired,married,secondary,no,602,yes,no,cellular,7,may,899,1,0,unknown,0
id_12395,26,management,married,tertiary,no,122,yes,no,cellular,18,may,888,2,0,unknown,0
id_30173,30,technician,single,secondary,no,2391,no,no,cellular,5,aug,809,1,0,unknown,0
id_28773,31,management,married,tertiary,no,2732,yes,yes,unknown,23,may,883,1,0,unknown,0
id_7740,24,blue-collar,single,secondary,no,2355,no,yes,unknown,27,may,879,1,0,unknown,0
id_31742,33,management,single,tertiary,no,111,yes,no,cellular,15,jul,830,2,0,unknown,0
id_17733,32,management,single,tertiary,no,3772,yes,no,cellular,9,feb,986,4,1,failure,0
id_17544,59,technician,married,secondary,no,134,yes,no,telephone,16,nov,706,13,1,other,0
id_24388,31,blue-collar,single,secondary,no,1033,yes,yes,cellular,16,apr,920,2,2,failure,0
id_37282,39,technician,married,secondary,no,1629,yes,no,unknown,19,may,887,3,0,unknown,0
id_5295,31,management,single,tertiary,no,37,no,no,cellular,19,aug,795,2,0,unknown,0
id_27973,57,self-employed,divorced,secondary,no,152,no,no,unknown,17,jun,858,3,0,unknown,0
id_8221,30,blue-collar,single,secondary,no,2741,no,no,cellular,28,jan,998,1,0,unknown,0
id_39069,35,blue-collar,married,secondary,no,2693,yes,no,cellular,20,apr,916,1,0,unknown,0
id_30075,47,entrepreneur,married,secondary,no,7902,yes,yes,cellular,22,aug,792,2,0,unknown,0
id_1091,35,blue-collar,married,secondary,no,177,yes,no,unknown,15,may,891,2,0,unknown,0
id_7066,47,management,married,tertiary,no,267,yes,no,cellular,15,jul,830,2,0,unknown,0
id_30044,47,management,married,secondary,no,-2,yes,no,unknown,14,may,892,4,0,unknown,0
id_8234,33,technician,single,secondary,yes,-483,yes,no,cellular,17,apr,919,1,0,unknown,1
id_38753,54,self-employed,married,tertiary,no,544,no,no,telephone,6,feb,989,5,0,unknown,0
id_13379,48,management,single,tertiary,no,34,no,yes,unknown,3,jul,842,1,0,unknown,0
id_34404,52,management,divorced,tertiary,no,2910,yes,no,unknown,30,may,876,1,0,unknown,0
id_24468,26,management,married,tertiary,no,245,yes,no,cellular,31,mar,936,2,1,other,0
id_25623,36,management,married,tertiary,no,289,no,yes,cellular,5,aug,809,1,0,unknown,0
id_10179,31,entrepreneur,married,tertiary,no,280,yes,no,telephone,20,apr,916,5,2,failure,0
id_11522,33,management,married,tertiary,no,3297,yes,no,cellular,17,jun,858,2,4,failure,1
id_4391,54,technician,married,secondary,no,2312,yes,no,cellular,8,may,898,3,2,failure,0
id_38854,33,blue-collar,married,tertiary,no,11,yes,no,unknown,18,jun,857,3,0,unknown,0
id_13422,28,admin.,single,secondary,no,-136,no,no,cellular,18,jul,827,1,0,unknown,0
id_37846,,technician,married,secondary,no,274,no,no,cellular,25,aug,789,6,0,unknown,0
id_36509,26,management,single,tertiary,no,125,no,yes,cellular,8,jul,837,1,0,unknown,0
id_13799,37,management,married,tertiary,no,413,yes,no,cellular,7,apr,929,1,0,unknown,0
id_36681,31,technician,married,secondary,no,1094,yes,no,unknown,2,jun,873,3,0,unknown,0
id_36349,51,management,married,tertiary,no,915,yes,no,unknown,9,may,897,4,0,unknown,0
id_12332,28,management,married,tertiary,no,476,yes,no,cellular,21,nov,701,5,0,unknown,0
id_40161,29,blue-collar,single,secondary,no,901,yes,yes,unknown,21,may,885,7,0,unknown,0
id_20621,35,student,single,unknown,no,39,yes,no,unknown,29,may,877,1,0,unknown,0
id_41257,44,admin.,married,secondary,no,-1093,yes,yes,cellular,31,jul,814,4,0,unknown,0
id_9499,45,unemployed,married,secondary,no,1035,no,no,telephone,26,may,880,5,0,unknown,0
id_16340,48,blue-collar,married,primary,no,7096,no,no,cellular,6,aug,808,7,0,unknown,1
id_9623,37,management,married,tertiary,no,2374,yes,yes,cellular,20,jul,825,2,6,other,0
id_44584,29,technician,married,secondary,no,27,no,no,cellular,21,aug,793,2,0,unknown,0
id_33240,32,management,single,tertiary,no,1717,yes,no,unknown,21,may,885,2,0,unknown,0
id_45071,32,blue-collar,married,secondary,no,-661,yes,yes,unknown,28,may,878,2,0,unknown,0
id_13059,39,unemployed,single,secondary,no,358,yes,no,cellular,4,may,902,2,2,failure,0
id_31537,20,blue-collar,single,primary,no,3201,yes,no,cellular,15,may,891,1,2,failure,0
id_13306,32,services,married,secondary,no,1804,yes,no,telephone,6,feb,989,1,2,failure,0
id_9403,29,services,single,secondary,no,1,yes,no,cellular,18,may,888,6,9,failure,0
id_32626,32,technician,married,tertiary,no,4658,yes,yes,cellular,15,jul,830,2,0,unknown,0
id_26418,42,management,single,tertiary,no,265,yes,no,cellular,31,jul,814,5,0,unknown,0
id_1029,61,retired,married,tertiary,no,-5,no,no,cellular,25,aug,789,3,0,unknown,0
id_42110,52,management,married,secondary,no,428,yes,no,unknown,30,may,876,1,0,unknown,0
id_36323,38,admin.,single,secondary,no,1061,yes,no,unknown,28,may,878,4,0,unknown,0
id_40269,33,technician,single,secondary,no,-56,yes,no,unknown,30,may,876,2,0,unknown,0
id_26788,39,technician,married,secondary,no,-3,yes,yes,cellular,21,nov,701,1,0,unknown,0
id_40086,50,retired,divorced,primary,no,662,yes,no,cellular,15,may,891,5,0,unknown,0
id_24053,41,blue-collar,divorced,unknown,no,536,no,no,unknown,16,may,890,2,0,unknown,0
id_35556,42,management,married,tertiary,no,979,no,no,cellular,19,aug,795,1,0,unknown,0
id_23962,39,blue-collar,married,primary,no,2521,yes,no,unknown,15,may,891,4,0,unknown,0
id_38766,42,management,married,secondary,no,108,no,no,unknown,17,jun,858,2,0,unknown,1
id_41620,51,entrepreneur,married,primary,no,3339,yes,yes,unknown,16,may,890,1,0,unknown,0
id_33357,46,blue-collar,married,secondary,no,1094,yes,yes,cellular,6,feb,989,2,0,unknown,0
id_20894,60,management,divorced,tertiary,no,5697,no,no,cellular,30,apr,906,1,1,success,1
id_28169,32,blue-collar,married,secondary,no,717,yes,no,unknown,8,may,898,1,0,unknown,0
id_27742,60,services,married,secondary,no,293,no,yes,cellular,22,jul,823,4,0,unknown,0
id_33560,41,services,single,secondary,no,2,no,no,unknown,20,jun,855,2,0,unknown,0
id_15592,44,unemployed,married,unknown,no,189,no,no,cellular,11,aug,803,2,0,unknown,1
id_631,78,retired,married,secondary,no,8303,no,no,telephone,9,jun,866,1,12,failure,1
id_14561,42,blue-collar,married,primary,no,1068,no,no,cellular,30,jul,815,2,0,unknown,0
id_43996,33,self-employed,single,tertiary,no,9958,no,no,cellular,20,aug,794,1,0,unknown,1
id_31485,39,blue-collar,married,tertiary,no,1988,yes,no,cellular,20,apr,916,2,0,unknown,0
id_20716,54,retired,divorced,secondary,no,-57,no,yes,cellular,15,jul,830,10,0,unknown,0
id_30179,53,admin.,married,secondary,no,-1601,no,yes,cellular,13,may,893,2,0,unknown,0
id_14098,50,management,married,tertiary,no,5793,no,no,cellular,19,nov,703,1,0,unknown,0
id_24707,39,self-employed,married,secondary,no,308,yes,no,unknown,20,may,886,2,0,unknown,0
id_41422,61,retired,married,secondary,no,3,no,no,telephone,31,jul,814,20,0,unknown,0
id_24787,39,services,divorced,secondary,no,5767,yes,yes,unknown,28,may,878,1,0,unknown,0
id_3749,44,admin.,married,secondary,no,821,yes,no,unknown,30,may,876,2,0,unknown,0
id_30446,29,self-employed,single,primary,no,162,no,no,cellular,9,feb,986,3,0,unknown,0
id_41826,31,blue-collar,single,secondary,no,565,yes,no,cellular,7,may,899,2,4,other,0
id_6035,64,unknown,married,unknown,no,2795,no,no,telephone,9,sep,774,4,0,unknown,0
id_6093,51,management,divorced,tertiary,no,-808,yes,no,cellular,7,aug,807,3,0,unknown,0
id_24245,30,admin.,married,secondary,no,410,yes,no,cellular,20,apr,916,3,2,failure,0
id_8154,26,admin.,married,secondary,no,319,yes,no,cellular,15,jul,830,2,0,unknown,0
id_42494,51,blue-collar,married,secondary,no,736,no,yes,unknown,12,jun,863,1,0,unknown,0
id_18025,33,technician,single,secondary,no,-414,yes,no,unknown,28,may,878,1,0,unknown,0
id_33626,49,unemployed,married,primary,no,129,yes,no,cellular,19,nov,703,2,0,unknown,0
id_22439,,retired,married,primary,no,208,no,no,unknown,12,may,894,1,0,unknown,0
id_10134,52,entrepreneur,married,tertiary,no,12729,yes,,cellular,16,jul,829,6,0,unknown,0
id_13926,71,retired,divorced,tertiary,no,264,no,no,cellular,12,aug,802,2,0,unknown,0
id_35380,27,blue-collar,single,secondary,no,43,yes,no,unknown,9,may,897,1,0,unknown,0
id_33480,58,admin.,single,secondary,no,473,no,no,cellular,5,feb,990,2,1,other,0
id_12611,55,management,single,tertiary,no,1091,yes,yes,cellular,17,nov,705,3,4,failure,0
id_22207,34,management,married,secondary,no,249,no,no,cellular,25,aug,789,6,0,unknown,0
id_34484,45,blue-collar,married,secondary,no,1332,yes,no,cellular,25,aug,789,2,0,unknown,0
id_13943,33,management,single,secondary,no,20599,no,no,cellular,20,nov,702,1,0,unknown,0
id_42642,30,blue-collar,married,secondary,no,464,yes,no,unknown,23,may,883,4,0,unknown,0
id_27090,43,blue-collar,married,unknown,no,86,yes,no,unknown,16,may,890,1,0,unknown,0
id_14121,60,retired,married,tertiary,no,2508,no,no,cellular,29,jul,816,4,0,unknown,0
id_28662,52,blue-collar,divorced,primary,no,217,yes,no,unknown,4,jun,871,5,0,unknown,0
id_28949,33,technician,married,secondary,no,657,no,no,cellular,22,jun,853,1,0,unknown,0
id_10517,33,management,divorced,tertiary,no,293,yes,no,cellular,17,jul,828,5,0,unknown,1
id_10225,35,management,married,tertiary,yes,-1,yes,yes,cellular,21,nov,701,1,0,unknown,0
id_3751,42,blue-collar,divorced,secondary,no,3259,no,no,cellular,31,jul,814,6,0,unknown,0
id_16647,41,admin.,married,primary,no,247,yes,no,unknown,14,may,892,1,0,unknown,0
id_40038,56,housemaid,single,secondary,no,11492,no,no,telephone,4,mar,963,7,0,unknown,0
id_23372,32,management,single,tertiary,no,1132,yes,no,unknown,20,may,886,2,0,unknown,0
id_14627,34,technician,divorced,secondary,no,3068,yes,yes,cellular,20,nov,702,2,1,other,0
id_15181,25,blue-collar,single,secondary,no,156,yes,no,cellular,18,may,888,2,2,failure,0
id_947,35,admin.,married,secondary,no,370,no,no,cellular,29,aug,785,10,0,unknown,0
id_19057,34,admin.,single,tertiary,no,14,yes,yes,cellular,30,apr,906,1,0,unknown,1
id_41207,33,blue-collar,single,unknown,yes,-528,yes,no,unknown,7,may,899,1,0,unknown,0
id_9855,29,management,single,secondary,no,204,yes,no,cellular,7,may,899,1,0,unknown,0
id_1491,29,unemployed,divorced,secondary,no,1147,yes,no,cellular,8,may,898,2,1,failure,0
id_37763,31,management,single,tertiary,no,984,yes,no,cellular,25,oct,728,1,2,success,1
id_4064,59,blue-collar,divorced,secondary,no,1099,yes,,cellular,15,jul,830,4,0,unknown,0
id_34299,,blue-collar,divorced,unknown,yes,-273,yes,yes,unknown,23,may,883,2,0,unknown,0
id_19636,38,technician,single,secondary,no,821,yes,yes,cellular,19,aug,795,4,0,unknown,0
id_23169,30,blue-collar,married,secondary,no,635,yes,no,unknown,23,may,883,4,0,unknown,0
id_12013,49,technician,married,secondary,no,736,yes,no,cellular,17,nov,705,3,0,unknown,0
id_43681,62,unemployed,married,primary,no,27,yes,no,unknown,16,may,890,6,0,unknown,0
id_41902,31,admin.,single,secondary,no,391,yes,yes,cellular,31,jul,814,3,0,unknown,0
id_28185,54,technician,married,secondary,no,-4,no,no,unknown,20,jun,855,4,0,unknown,0
id_17998,21,admin.,single,secondary,no,1,yes,no,unknown,9,may,897,1,0,unknown,0
id_42563,55,blue-collar,married,primary,no,1941,yes,no,telephone,21,nov,701,3,0,unknown,0
id_31656,56,retired,married,primary,no,16427,no,no,cellular,14,aug,800,2,0,unknown,0
id_13282,55,blue-collar,married,primary,no,3,no,no,unknown,8,may,898,2,0,unknown,0
id_13512,39,management,single,tertiary,no,259,yes,no,unknown,5,may,901,1,0,unknown,0
id_44190,46,services,,secondary,no,-1622,yes,yes,unknown,3,jun,872,5,0,unknown,0
id_41340,29,technician,married,secondary,no,180,no,no,cellular,17,mar,950,2,0,unknown,1
id_1964,34,management,married,tertiary,no,10,yes,no,cellular,17,nov,705,2,0,unknown,0
id_27085,28,technician,single,secondary,no,239,yes,no,cellular,4,may,902,3,0,unknown,1
id_4695,33,services,single,secondary,no,418,yes,no,cellular,20,apr,916,5,2,other,0
id_33312,52,blue-collar,single,unknown,no,1785,no,no,cellular,3,feb,992,2,0,unknown,0
id_39782,35,blue-collar,single,secondary,no,2960,yes,yes,unknown,16,jun,859,2,0,unknown,0
id_4387,22,student,single,primary,no,114,yes,no,cellular,18,may,888,2,0,unknown,0
id_17350,29,management,married,tertiary,no,11,yes,no,cellular,16,jul,829,6,0,unknown,0
id_21262,30,admin.,single,secondary,no,-39,no,yes,cellular,18,jul,827,2,0,unknown,0
id_8409,36,admin.,single,secondary,no,2202,yes,no,unknown,3,jun,872,3,0,unknown,0
id_33785,39,blue-collar,married,secondary,no,-2,yes,no,unknown,9,jun,866,1,0,unknown,0
id_434,47,housemaid,married,primary,no,3,no,no,telephone,9,jul,836,1,0,unknown,0
id_936,21,services,single,secondary,no,343,yes,no,unknown,3,jun,872,6,0,unknown,0
id_31559,37,admin.,single,unknown,no,33,no,no,cellular,20,apr,916,3,0,unknown,0
id_18128,38,management,divorced,tertiary,no,367,yes,no,telephone,22,aug,792,3,0,unknown,0
id_10269,29,blue-collar,married,secondary,no,1310,yes,no,unknown,19,may,887,2,0,unknown,0
id_5133,35,blue-collar,married,secondary,no,753,yes,no,unknown,23,may,883,1,0,unknown,0
id_383,33,technician,single,tertiary,no,143,yes,yes,cellular,21,jul,824,3,16,failure,0
id_21693,56,management,married,primary,no,2764,yes,no,cellular,11,jul,834,2,0,unknown,0
id_23664,50,entrepreneur,married,primary,no,431,yes,no,cellular,20,apr,916,5,0,unknown,0
id_1039,41,management,single,tertiary,no,2405,no,no,cellular,29,aug,785,2,0,unknown,0
id_7343,56,services,married,secondary,no,1169,no,no,unknown,9,jun,866,1,0,unknown,0
id_3480,55,self-employed,divorced,secondary,no,3,no,no,cellular,29,jul,816,2,0,unknown,0
id_25982,39,technician,married,secondary,no,87,yes,no,cellular,8,aug,806,3,0,unknown,0
id_38590,46,blue-collar,married,unknown,no,415,no,no,unknown,5,jun,870,1,0,unknown,0
id_25717,38,management,married,tertiary,no,2,yes,no,cellular,11,may,895,1,0,unknown,0
id_36178,42,management,single,tertiary,no,479,yes,no,unknown,15,may,891,2,0,unknown,0
id_29287,44,services,divorced,secondary,no,863,yes,no,unknown,14,may,892,2,0,unknown,0
id_247,28,blue-collar,married,secondary,no,374,yes,yes,unknown,6,jun,869,4,0,unknown,0
id_34060,33,management,single,tertiary,no,11820,no,no,cellular,18,aug,796,11,0,unknown,1
id_39025,52,blue-collar,married,secondary,no,16869,no,no,cellular,1,jun,874,2,0,unknown,0
id_19867,47,technician,divorced,secondary,no,-4,no,no,cellular,29,sep,754,1,2,failure,1
id_6074,47,blue-collar,married,primary,no,10,no,no,cellular,20,aug,794,2,0,unknown,0
id_27801,46,technician,married,secondary,no,1120,yes,no,telephone,22,jul,823,1,0,unknown,0
id_34191,38,admin.,married,secondary,no,52,yes,yes,cellular,27,apr,909,1,4,other,0
id_32980,39,blue-collar,married,secondary,no,218,yes,yes,cellular,7,jul,838,5,0,unknown,0
